"","latitude","longitude","temp","temp_sqrt","temp_quad","temp_opti","temp_log"
"224",37,-4,14.6,5.64198926981712,106.08,22.0313218732808,2.68102152871429
"16",43.5,-2,11.57,4.80294054067798,66.43245,16.2709105105386,2.44841554120559
"69",42,-3.5,10.53,4.48999229583518,54.94045,14.3748864826623,2.35422832614588
"168",39,-6,14.53,5.62364742101837,105.06045,21.8945724246698,2.67621547758219
"50",42.5,-0.5,10.23,4.39687423668779,51.82645,13.8364087377161,2.32532457996354
"158",39.5,-3.5,13.8,5.42967024840268,94.72,20.4783939401887,2.62466859216316
"181",38.5,-7,14.17,5.52861208988748,99.89445,21.1939027191098,2.65112705370259
"28",43,-4,9,4,40,11.6707658144959,2.19722457733622
"49",42.5,-1,11.27,4.71416413263781,63.00645,15.719423307729,2.42214432805168
"12",43.5,-4,11.13,4.67233092704491,61.43845,15.4633100789865,2.40964416528745
"202",38,-4,13.93,5.46458304260861,96.52245,20.7292490908136,2.63404478779171
"135",40,-7.5,14.57,5.63413387359693,105.64245,21.9726948493542,2.67896462020711
"226",37,-3,15,5.74596669241483,112,22.8158760551852,2.70805020110221
"184",38.5,-5.5,14.03,5.49132832013122,97.92045,20.9226135350615,2.64119789411437
"153",39.5,-6,14.43,5.59736796528903,103.61245,21.6995017533136,2.66930937278578
"47",42.5,-2,13.6,5.37563556583431,91.98,20.0936166654351,2.61006979274201
"51",42.5,0,11.6,4.81175454637056,66.78,16.3262576578504,2.45100509811232
"6",43.5,-7,9.73,4.23858958419289,46.83645,12.9477313659566,2.27521389619791
"120",40.5,-7.5,12.63,5.10774225756674,79.25845,18.2477716149773,2.5360749363624
"15",43.5,-2.5,12.63,5.10774225756674,79.25845,18.2477716149773,2.5360749363624
"19",43,-8.5,11.47,4.77347768875044,65.28045,16.0866794449299,2.43973493114128
"59",42,-8.5,10.7,4.54217089351845,56.745,14.6817378414588,2.37024374146786
"3",43.5,-8.5,12.43,5.05124102552168,76.75245,17.8714866212554,2.52011290552262
"97",41.5,-0.5,14.4,5.58946638440411,103.18,21.6410463176388,2.66722820658195
"215",37.5,-3.5,10.03,4.33403504884525,49.80045,13.4796036532713,2.30558060197384
"208",37.5,-7,16.6,6.14861951498535,137.28,26.005573113362,2.8094026953625
"75",42,-0.5,14.4,5.58946638440411,103.18,21.6410463176388,2.66722820658195
"216",37.5,-3,10.43,4.45910210478206,53.89245,14.1949621039442,2.34468626901268
"10",43.5,-5,8.5,3.8309518948453,35.625,10.8108400991842,2.14006616349627
"42",42.5,-4.5,11.4,4.75277720645365,64.48,15.9579562071343,2.43361335540045
"193",38.5,-1,16.13,6.03243425120928,129.58845,25.0602635280212,2.78068089213712
"164",39.5,-0.5,16.2,6.04984471899924,130.72,25.2006230574833,2.78501124223834
"18",43,-9,12.87,5.17495644586084,82.31845,18.7012823646234,2.55489902160804
"138",40,-6,14.47,5.60789064064409,104.19045,21.7774895996141,2.67207754064339
"84",41.5,-7,12.57,5.09083916049434,78.50245,18.1347285797921,2.53131302260216
"209",37.5,-6.5,16.6,6.14861951498535,137.28,26.005573113362,2.8094026953625
"9",43.5,-5.5,9.1,4.03324125159934,40.905,11.8442107928641,2.2082744135228
"116",41,-1,9.4,4.13188388670236,43.68,12.3673931844267,2.24070968927596
"212",37.5,-5,15.03,5.75370878999205,112.45045,22.8749304978721,2.71004820376488
"8",43.5,-6,9.2,4.06630035524124,41.82,12.0181329319694,2.21920348405499
"5",43.5,-7.5,10.27,4.40936814358483,52.23645,13.907980367368,2.32922702394047
"29",43,-3.5,9.47,4.15467302137165,44.34045,12.4900758855601,2.24812890719799
"223",37,-4.5,15.1,5.77174369109018,113.505,23.0128387489134,2.71469474382088
"70",42,-3,10.2,4.38748776906852,51.52,13.7827758948029,2.32238772029023
"126",40.5,-4.5,13.5,5.34846922834953,90.625,19.9017565775792,2.60268968544438
"194",38.5,-0.5,15.9,5.97496081495075,125.905,24.6001564948105,2.76631910922619
"169",39,-5.5,14.47,5.60789064064409,104.19045,21.7774895996141,2.67207754064339
"88",41.5,-5,11.6,4.81175454637056,66.78,16.3262576578504,2.45100509811232
"109",41,-4.5,9.6,4.19677335393187,45.58,12.7185162771465,2.26176309847379
"183",38.5,-6,14.47,5.60789064064409,104.19045,21.7774895996141,2.67207754064339
"56",42.5,2.5,12.27,5.0057119552548,74.77645,17.571545401981,2.50715725872282
"27",43,-4.5,9.27,4.08933493905533,42.46645,12.1401602510553,2.22678337957776
"68",42,-4,10.6,4.51152823843988,55.68,14.5010882004763,2.36085400111802
"129",40.5,-3,11.93,4.90796641566822,70.66245,16.9374237526273,2.47905623610982
"230",36.5,-6,15.7,5.92464510246358,122.745,24.2014128964345,2.75366071235426
"40",42.5,-5.5,11.5,4.78232998312527,65.625,16.141906766532,2.4423470353692
